dataset,cluster_size_bin,n_replicates,n_pairs,mean_aligned_fraction_pct,sem_aligned_fraction_pct,mean_antiparallel_share_pct,sem_antiparallel_share_pct,mean_anti_diagonal_mean,sem_anti_diagonal_mean,mean_parallel_diagonal_mean,sem_parallel_diagonal_mean,mean_anti_diagonal_preference_pct,sem_anti_diagonal_preference_pct
Hel50,2-5,3,776,69.92282313264654,4.101283592740486,34.80654231198199,10.268753028792226,0.01190266146086139,0.003912835925422051,0.012760200292092986,0.000879412438971917,-4.702030120541077,34.364043749587346
Hel50,6-10,3,3589,62.60436094234746,6.5441129619874365,46.06937235022108,3.0915754004485523,0.008718285842999995,0.0022826475933662447,0.011425110316840584,0.0015774726299102476,-15.90723471483877,28.35117390578177
Hel50,11-20,3,2330,73.92014436999368,1.4471425321909965,53.77002258014892,4.773482690473979,0.014523964741685103,0.0018975579965071709,0.011431297699937554,0.001400711510753072,29.24361839088724,19.220449220407566
Hel50,21-35,3,7045,69.61883180458817,3.526341286932286,53.47658678366494,9.524491640027522,0.013701746214245705,0.003169067854113889,0.010922270528782254,0.0003733152198631544,24.195556241281434,25.04930912324449
Hel50,36-50,3,140792,55.6161594531477,1.99575550529549,56.53960499440252,2.8353849673198117,0.01149371191853954,0.0015984592912143003,0.010586104967697144,0.0006161632707760085,7.962649548197935,10.977109874354001
Hel50,all,3,154532,56.76381524939899,1.5662524772835607,55.82514722878104,3.076504895625659,0.011418435988791728,0.0013667900701003523,0.010590376677172794,0.0005796633596755764,7.500309828296211,10.061864646637448
IDP50,2-5,3,1219,51.49358478068965,1.035470775628132,55.57115023599292,4.829520697342099,0.007432553670483695,0.00035537030491890353,0.008817373660404297,0.00021930832894029816,-15.475338496547309,5.509079784530943
IDP50,6-10,3,3657,52.70964908876209,1.2767578941865112,55.920763985588934,2.8738778369170346,0.007076357058315527,0.00023453051288671966,0.007925223325861848,0.0006069559290525387,-9.52630259905125,8.112112697050366
IDP50,11-20,3,4698,48.618664904589195,0.676667377406247,51.18394072205286,2.327363920912711,0.006863508233299326,3.1976344882374734e-05,0.0073727734318047924,0.0005127316246415209,-5.9480161487912,6.942081244002188
IDP50,21-35,3,11423,48.97034745413231,1.6489086383548177,51.001064960239994,0.768146315718626,0.007587492407436995,0.00024960424669285473,0.008589365775257774,0.00035826661047416085,-11.28497993695676,5.2132893800752225
IDP50,36-50,3,168598,48.78495708084373,0.1172361121399869,51.76685996615125,0.326174513472871,0.007332417731503233,0.00010493269921136821,0.007802984343864855,4.104457513525235e-05,-6.016420973837629,1.695002222159591
IDP50,all,3,189595,48.83066835892302,0.11508758509994561,51.73239703155924,0.28085081469172285,0.0073314554216021835,9.527681152277925e-05,0.007834338818290694,2.6676118325302573e-05,-6.412193431292486,1.414336635168874
