threshold,comparison,group_1_n,group_2_n,delta_mean_fpt_us,delta_2.5%_fpt_us,delta_97.5%_fpt_us,exact_perm_p
10,IDP50_membrane - IDP50_no_membrane,3,3,-0.24663606666666665,-0.273,-0.19800000000000004,0.1
10,Hel50_no_membrane - IDP50_no_membrane,3,3,0.20413069999999997,0.12266666666666673,0.27733333333333327,0.1
10,Hel50_membrane - IDP50_no_membrane,3,3,-0.08299403333333334,-0.18733333333333332,0.0026666666666666783,0.2
10,Hel50_no_membrane - IDP50_membrane,3,3,0.45076676666666665,0.36800000000000005,0.513,0.1
10,Hel50_membrane - IDP50_membrane,3,3,0.16364203333333333,0.058,0.241,0.1
10,Hel50_membrane - Hel50_no_membrane,3,3,-0.2864507333333333,-0.3966666666666666,-0.1779999999999999,0.1
15,IDP50_membrane - IDP50_no_membrane,3,3,-0.5363884666666667,-0.659,-0.36800000000000005,0.1
15,Hel50_no_membrane - IDP50_no_membrane,3,3,0.4971081,0.21666666666666656,0.7523333333333333,0.1
15,Hel50_membrane - IDP50_no_membrane,3,3,0.1806627166666666,-0.3416666666666667,0.7409999999999999,0.7
15,Hel50_no_membrane - IDP50_membrane,3,3,1.0334965666666667,0.75,1.224,0.1
15,Hel50_membrane - IDP50_membrane,3,3,0.7170511833333334,0.169,1.303,0.1
15,Hel50_membrane - Hel50_no_membrane,3,3,-0.31771733333333335,-0.8646666666666667,0.23780833333326262,0.6
20,IDP50_membrane - IDP50_no_membrane,3,3,-1.2488165,-1.495,-1.064,0.1
20,Hel50_no_membrane - IDP50_no_membrane,3,3,-0.0040436500000001555,-0.3726666666666668,0.3310000000000002,1.0
20,Hel50_membrane - IDP50_no_membrane,3,3,1.0580130166666661,-0.9186666666666667,4.100333333333333,0.8
20,Hel50_no_membrane - IDP50_membrane,3,3,1.2447728500000002,0.876,1.463,0.1
20,Hel50_membrane - IDP50_membrane,3,3,2.306829516666667,0.289,5.39,0.1
20,Hel50_membrane - Hel50_no_membrane,3,3,1.0621033166666665,-0.933,4.1226666666666665,0.9
25,IDP50_membrane - IDP50_no_membrane,3,3,-2.1083743666666663,-3.024,-1.4130000000000003,0.1
25,Hel50_no_membrane - IDP50_no_membrane,3,3,-0.6687074666666667,-1.5850000000000002,0.10533333333333328,0.3
25,Hel50_membrane - IDP50_no_membrane,3,3,1.0333067333333332,-1.556,3.3729999999999993,0.6
25,Hel50_no_membrane - IDP50_membrane,3,3,1.4396669,1.022,1.733,0.1
25,Hel50_membrane - IDP50_membrane,3,3,3.1416811,0.551,5.527999999999999,0.1
25,Hel50_membrane - Hel50_no_membrane,3,3,1.70241845,-0.831,4.031999999999999,0.4
30,IDP50_membrane - IDP50_no_membrane,3,3,-2.794661066666667,-3.2479999999999998,-2.0999999999999996,0.1
30,Hel50_no_membrane - IDP50_no_membrane,3,3,-0.8703216666666669,-1.6866666666666668,-0.05600000000000005,0.3
30,Hel50_membrane - IDP50_no_membrane,3,3,1.4036293333333332,0.27933333333333366,2.8023333333333333,0.1
30,Hel50_no_membrane - IDP50_membrane,3,3,1.9243393999999996,1.177,2.4749999999999996,0.1
30,Hel50_membrane - IDP50_membrane,3,3,4.198290400000001,3.3840000000000003,5.597,0.1
30,Hel50_membrane - Hel50_no_membrane,3,3,2.2750728,1.0996666666666668,3.6736666666666666,0.1
35,IDP50_membrane - IDP50_no_membrane,3,3,-3.150720933333333,-3.893,-2.199,0.1
35,Hel50_no_membrane - IDP50_no_membrane,3,3,0.01642986666666658,-1.2943333333333333,1.4646666666666666,1.0
35,Hel50_membrane - IDP50_no_membrane,3,3,3.2546944000000004,0.3186666666666671,6.771000000000001,0.2
35,Hel50_no_membrane - IDP50_membrane,3,3,3.1671508000000004,2.3649999999999998,4.611,0.1
35,Hel50_membrane - IDP50_membrane,3,3,6.405415333333333,3.465,10.118,0.1
