plain_group,group,replicate,threshold,fpt_us,source_path
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,10,0.198,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,15,0.368,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,20,1.064,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,25,1.897,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,30,2.163,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,35,2.314,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,40,2.48,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,45,4.263,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 1,50,8.973,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,10,0.269,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,15,0.659,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,20,1.495,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,25,3.035,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,30,3.311,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,35,3.462,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,40,3.568,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
IDP50_no_membrane,$\mathrm{IDP}_{50}$,Run 2,45,3.716,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_0_re1.txt
