threshold,plain_group,group,n,mean_fpt_us,sd_fpt_us,sem_fpt_us,median_fpt_us,min_fpt_us,max_fpt_us
10,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,0.24666666666666667,0.042193996413391964,0.024360715187457957,0.269,0.198,0.273
10,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.0,0.0,0.0,0.0,0.0,0.0
10,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,0.4506666666666666,0.07460786374996495,0.043074870219705186,0.471,0.368,0.513
10,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,0.16333333333333333,0.09458505872141398,0.05460870911412493,0.191,0.058,0.241
15,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,0.5363333333333333,0.1507790878515099,0.08705234695923547,0.582,0.368,0.659
15,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.0,0.0,0.0,0.0,0.0,0.0
15,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,1.0336666666666667,0.25040433968550413,0.1445710129236763,1.127,0.75,1.224
15,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,0.7193333333333333,0.5677343862523506,0.3277816007310016,0.686,0.169,1.303
20,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,1.2486666666666668,0.22201876797544245,0.12818259545577076,1.187,1.064,1.495
20,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.0,0.0,0.0,0.0,0.0,0.0
20,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,1.2446666666666666,0.3210799485071177,0.1853755947019756,1.395,0.876,1.463
20,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,2.308333333333333,2.711358392638888,1.565403497859613,1.246,0.289,5.39
25,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,2.1186666666666665,0.828059377903139,0.4780803047373714,1.897,1.424,3.035
25,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.011000000000000001,2.1245936804851847e-18,1.2266347333466992e-18,0.011,0.011,0.011
25,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,1.45,0.3711158848661696,0.2142638560280292,1.573,1.033,1.744
25,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,3.138,2.493110707529852,1.4393981381118985,3.313,0.562,5.539
30,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,2.857666666666667,0.6108660518749863,0.3526836794888273,3.099,2.163,3.311
30,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.063,0.0,0.0,0.063,0.063,0.063
30,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,1.9863333333333333,0.6705388380499173,0.38713577865021864,2.181,1.24,2.538
30,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,4.256333333333333,1.2203550029943473,0.7045722894856931,3.662,3.447,5.66
35,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,3.261333333333333,0.8646440500768703,0.49920247506508936,3.462,2.314,4.008
35,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.115,0.0,0.0,0.115,0.115,0.115
35,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,3.2803333333333335,1.2543804579685276,0.7242168950743355,2.635,2.48,4.726
35,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,6.5263333333333335,3.3910444310467733,1.957820415098836,5.766,3.58,10.233
40,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,4.322333333333333,2.31364308685098,1.33578245900213,3.568,2.48,6.919
40,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.167,0.0,0.0,0.167,0.167,0.167
40,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,4.957,2.1963226083615313,1.268047449164791,5.045,2.718,7.108
40,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,3,6.739666666666666,3.526557291939737,2.036058801814045,5.904,3.706,10.609
45,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,5.061,1.875936832625235,1.0830726352989135,4.263,3.716,7.204
45,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,3,0.219,0.0,0.0,0.219,0.219,0.219
45,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,5.825333333333333,2.5395199021337342,1.4661924991093236,7.14,2.898,7.438
45,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,1,5.714,nan,nan,5.714,5.714,5.714
50,IDP50_no_membrane,$\mathrm{IDP}_{50}$,3,11.391,2.0945994843883633,1.209317576156073,12.552,8.973,12.648
50,IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,1,5.73,nan,nan,5.73,5.73,5.73
50,Hel50_no_membrane,$\mathrm{Hel}_{50}$,3,12.794000000000002,6.931011181638651,4.0016211714753815,15.034,5.02,18.328
50,Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,0,nan,nan,nan,nan,nan,nan
