# Radius(nm)	H1_rho(#/nm^3)	H2_rho(#/nm^3)	NAC_rho(#/nm^3)	C-term_rho(#/nm^3)
5.000000000000e-02 0.000000000000e+00 0.000000000000e+00 7.956951459449e-02 3.103211069185e-01
1.500000000000e-01 0.000000000000e+00 0.000000000000e+00 7.388597783774e-02 1.557289071349e-01
2.500000000000e-01 4.187869189184e-04 0.000000000000e+00 4.522898724318e-02 9.171433524312e-02
3.500000000000e-01 6.451582264418e-03 0.000000000000e+00 3.612886068074e-02 5.139760537320e-02
4.500000000000e-01 1.578346109169e-02 0.000000000000e+00 4.617640683024e-02 2.934941112092e-02
5.500000000000e-01 2.937951308104e-02 1.136707351350e-03 4.774170875669e-02 1.792500054052e-02
6.500000000000e-01 4.147639264689e-02 6.077356626508e-03 4.254149638556e-02 1.134022215874e-02
7.500000000000e-01 3.719521688145e-02 1.162939059458e-02 4.016141772136e-02 6.968217846145e-03
8.500000000000e-01 2.478755385524e-02 1.587723493982e-02 4.356155914205e-02 3.776801844808e-03
9.500000000000e-01 1.726452936589e-02 2.249086648686e-02 4.072432352124e-02 4.198686563473e-03
1.050000000000e+00 1.824569836170e-02 2.218811539901e-02 4.923213470982e-02 3.870299652481e-03
1.150000000000e+00 1.920090553691e-02 2.188662718821e-02 4.369308358085e-02 4.669948841440e-03
1.250000000000e+00 2.134295295520e-02 2.185192639610e-02 3.525489367321e-02 4.869179251305e-03
1.350000000000e+00 2.451090166210e-02 2.247438757742e-02 2.766749849337e-02 4.858540744892e-03
1.450000000000e+00 2.494270996322e-02 2.052918696669e-02 2.698554060732e-02 4.842265230473e-03
1.550000000000e+00 2.694989662132e-02 1.744790604353e-02 2.627670100548e-02 5.584212813427e-03
1.650000000000e+00 2.790289587677e-02 1.497893677434e-02 2.415329206785e-02 7.275205312372e-03
1.750000000000e+00 2.817401528732e-02 1.439004714429e-02 2.500508793785e-02 8.130116888381e-03
1.850000000000e+00 2.891464736773e-02 1.458128787408e-02 2.803915027434e-02 1.016506359766e-02
1.950000000000e+00 2.841071011901e-02 1.431693369522e-02 3.519608590345e-02 1.129036320144e-02
2.050000000000e+00 2.874219976034e-02 1.425436427192e-02 4.257379182942e-02 1.143377957535e-02
2.150000000000e+00 2.859798343573e-02 1.450838517732e-02 4.556172205547e-02 1.169734969417e-02
2.250000000000e+00 2.638523008640e-02 1.304856226826e-02 4.585592697565e-02 1.356715225805e-02
2.350000000000e+00 2.272797299793e-02 1.346967341204e-02 4.704541547871e-02 1.366175431631e-02
2.450000000000e+00 2.094608932218e-02 1.388600690563e-02 4.584193689242e-02 1.427037935259e-02
2.550000000000e+00 2.169299067802e-02 1.591390291890e-02 4.478079293939e-02 1.612597953391e-02
2.650000000000e+00 2.198263618674e-02 1.766616940071e-02 4.148037723331e-02 1.743580678134e-02
2.750000000000e+00 2.173520720391e-02 1.754456948066e-02 3.605000484933e-02 1.794785260884e-02
2.850000000000e+00 2.106943281404e-02 1.918549313735e-02 3.250040821804e-02 1.898958953145e-02
2.950000000000e+00 2.024436175608e-02 1.968362676238e-02 3.140725459252e-02 2.039064045009e-02
3.050000000000e+00 2.051245637791e-02 1.859377908224e-02 3.083853240303e-02 2.215744419306e-02
3.150000000000e+00 2.066882957202e-02 1.894486796929e-02 2.993545728782e-02 2.349933397094e-02
3.250000000000e+00 2.087036305804e-02 2.113902629760e-02 3.047193528301e-02 2.289914714742e-02
3.350000000000e+00 2.005425900947e-02 2.254745288821e-02 3.135516244846e-02 2.197082795322e-02
3.450000000000e+00 1.955257604499e-02 2.213061940500e-02 3.378863397678e-02 2.162258665990e-02
3.550000000000e+00 1.901376790165e-02 2.180848663694e-02 3.563266387500e-02 2.171378607739e-02
3.650000000000e+00 1.862328769155e-02 2.169100402856e-02 3.697185451711e-02 2.166512452669e-02
3.750000000000e+00 1.960099467126e-02 2.279018758852e-02 3.665591575393e-02 2.209803276851e-02
3.850000000000e+00 1.919008419217e-02 2.238932620015e-02 3.391769099737e-02 2.206725485707e-02
3.950000000000e+00 1.795541086652e-02 2.178515058840e-02 3.003447454326e-02 2.216251508829e-02
4.050000000000e+00 1.744514312050e-02 2.206958554562e-02 2.563008282539e-02 2.154084684877e-02
4.150000000000e+00 1.685481589388e-02 2.103425585148e-02 2.334726941682e-02 2.201520767646e-02
4.250000000000e+00 1.649683514429e-02 2.036591931031e-02 2.180489558458e-02 2.138348110425e-02
4.350000000000e+00 1.742343906859e-02 2.116574317230e-02 2.164929932053e-02 2.138159142397e-02
4.450000000000e+00 1.868765253555e-02 2.168239137805e-02 2.163015756103e-02 2.185114678689e-02
4.550000000000e+00 1.865162716118e-02 2.138550808446e-02 2.148543437875e-02 2.232840234853e-02
4.650000000000e+00 1.959124845234e-02 2.130848786088e-02 2.156975357090e-02 2.190461525556e-02
4.750000000000e+00 1.987650941466e-02 2.094973983015e-02 2.216403010310e-02 2.223691102946e-02
4.850000000000e+00 2.006094379574e-02 2.048827617538e-02 2.268469695517e-02 2.163835276439e-02
4.950000000000e+00 2.000549270487e-02 1.928784084559e-02 2.155553412644e-02 2.121023858630e-02
5.050000000000e+00 2.018721536784e-02 1.884875026154e-02 2.034633359726e-02 2.070616959321e-02
5.150000000000e+00 1.948788111622e-02 1.984387894449e-02 2.002287785253e-02 1.974287956063e-02
5.250000000000e+00 1.913652118443e-02 2.096866963996e-02 1.993327481950e-02 1.923274746886e-02
5.350000000000e+00 1.917285229387e-02 2.120402005899e-02 1.972141585087e-02 1.933686538439e-02
5.450000000000e+00 1.934813424120e-02 2.154297058811e-02 1.987764520691e-02 1.875522482934e-02
5.550000000000e+00 1.919363759145e-02 2.092262347291e-02 2.025014440248e-02 1.851857537478e-02
5.650000000000e+00 1.873543441689e-02 2.026417939814e-02 2.007142459615e-02 1.844796389324e-02
5.750000000000e+00 1.841674479343e-02 1.978528589534e-02 2.011017402328e-02 1.843519523032e-02
5.850000000000e+00 1.804205999571e-02 1.953471495927e-02 2.013921696944e-02 1.793820965038e-02
5.950000000000e+00 1.791494023631e-02 1.905293188181e-02 1.991447921053e-02 1.740775106974e-02
6.050000000000e+00 1.731602486353e-02 1.858626763818e-02 1.953188476363e-02 1.720515940744e-02
6.150000000000e+00 1.654922485617e-02 1.810948016571e-02 1.875461943976e-02 1.678694465389e-02
6.250000000000e+00 1.600081219331e-02 1.719988858868e-02 1.760999172730e-02 1.632943788717e-02
6.350000000000e+00 1.521404375110e-02 1.670519105693e-02 1.681437961130e-02 1.597507481984e-02
6.450000000000e+00 1.471790572813e-02 1.622437766938e-02 1.598721831172e-02 1.546827283556e-02
6.550000000000e+00 1.428739842897e-02 1.577975184542e-02 1.537544400186e-02 1.474239930491e-02
6.650000000000e+00 1.366961918020e-02 1.529255659252e-02 1.488472309645e-02 1.452666927710e-02
6.750000000000e+00 1.311159372834e-02 1.445977571532e-02 1.449295636008e-02 1.425545279760e-02
6.850000000000e+00 1.289210406245e-02 1.357378932636e-02 1.364614066449e-02 1.383210621327e-02
6.950000000000e+00 1.317171703880e-02 1.256496585788e-02 1.250456528784e-02 1.372740228323e-02
7.050000000000e+00 1.246505460004e-02 1.208190852346e-02 1.148424333437e-02 1.295652749215e-02
7.150000000000e+00 1.180650351194e-02 1.154761854238e-02 1.118030279397e-02 1.249755517420e-02
7.250000000000e+00 1.131250521716e-02 1.109956631705e-02 1.089520552428e-02 1.176462193399e-02
7.350000000000e+00 1.086194817603e-02 1.079272314019e-02 1.056590068235e-02 1.103476528676e-02
7.450000000000e+00 1.065498448690e-02 1.040983908430e-02 1.011929638492e-02 1.051974832913e-02
7.550000000000e+00 1.044160854345e-02 9.956774707955e-03 9.925600171508e-03 1.028992348551e-02
7.650000000000e+00 1.006662902644e-02 9.368237376446e-03 9.453440251332e-03 9.960125432836e-03
7.750000000000e+00 9.730805392109e-03 8.803914825852e-03 8.917402617909e-03 9.478217777102e-03
7.850000000000e+00 9.597236092540e-03 8.274592514086e-03 8.534989313619e-03 9.400539667108e-03
7.950000000000e+00 9.013206236277e-03 7.870084260878e-03 8.403876901372e-03 8.865070385573e-03
8.050000000000e+00 8.440319582159e-03 7.365531529460e-03 8.288474049961e-03 8.575793628405e-03
8.150000000000e+00 8.040805517083e-03 6.961484003815e-03 7.788844039143e-03 8.105093627937e-03
8.250000000000e+00 7.524402553039e-03 6.672553986000e-03 7.264483525493e-03 7.686510972018e-03
8.350000000000e+00 6.977025707212e-03 6.440653304008e-03 6.542221695253e-03 7.453674374740e-03
8.450000000000e+00 6.467414306543e-03 6.222996489433e-03 5.934003994430e-03 7.004910630796e-03
8.550000000000e+00 5.959640904332e-03 5.923721967919e-03 5.522445769198e-03 6.558652662097e-03
8.650000000000e+00 5.331338261242e-03 5.639379015832e-03 5.094547439533e-03 6.274956775300e-03
8.750000000000e+00 5.109021730330e-03 5.467567803756e-03 4.871376700020e-03 5.917569107506e-03
8.850000000000e+00 4.808644113043e-03 5.327774495106e-03 4.419550304178e-03 5.665395493747e-03
8.950000000000e+00 4.568351682661e-03 5.256071219146e-03 4.151150615751e-03 5.161373199196e-03
9.050000000000e+00 4.329998696198e-03 5.097163972639e-03 3.619504556683e-03 4.814132123079e-03
9.150000000000e+00 4.314754105892e-03 4.923318176187e-03 3.281050534121e-03 4.556152243094e-03
9.250000000000e+00 4.178879684632e-03 4.659663186662e-03 2.800695642063e-03 4.262885054749e-03
9.350000000000e+00 4.067823432657e-03 4.476790167981e-03 2.626124674305e-03 4.017157672420e-03
9.450000000000e+00 3.837548796519e-03 4.269982125807e-03 2.450554532937e-03 3.690830345510e-03
