# Radius(nm)	N-ter_rho(#/nm^3)	NAC_rho(#/nm^3)	C-term_rho(#/nm^3)
5.000000000000e-02 0.000000000000e+00 7.956951459449e-02 3.103211069185e-01
1.500000000000e-01 0.000000000000e+00 7.388597783774e-02 1.557289071349e-01
2.500000000000e-01 0.000000000000e+00 4.522898724318e-02 9.171433524312e-02
3.500000000000e-01 0.000000000000e+00 3.612886068074e-02 5.139760537320e-02
4.500000000000e-01 2.608836544082e-04 4.617640683024e-02 2.934941112092e-02
5.500000000000e-01 6.120731891884e-04 4.774170875669e-02 1.792500054052e-02
6.500000000000e-01 7.518379331763e-04 4.254149638556e-02 1.134022215874e-02
7.500000000000e-01 1.082898719333e-03 4.016141772136e-02 6.968217846145e-03
8.500000000000e-01 1.613391079335e-03 4.356155914205e-02 3.776801844808e-03
9.500000000000e-01 3.259120339479e-03 4.072432352124e-02 4.198686563473e-03
1.050000000000e+00 7.428090637371e-03 4.923213470982e-02 3.870299652481e-03
1.150000000000e+00 1.288745538646e-02 4.369308358085e-02 4.669948841440e-03
1.250000000000e+00 1.263950711576e-02 3.525489367321e-02 4.869179251305e-03
1.350000000000e+00 1.283003873352e-02 2.766749849337e-02 4.858540744892e-03
1.450000000000e+00 1.649396594130e-02 2.698554060732e-02 4.842265230473e-03
1.550000000000e+00 2.124428787717e-02 2.627670100548e-02 5.584212813427e-03
1.650000000000e+00 2.178665901443e-02 2.415329206785e-02 7.275205312372e-03
1.750000000000e+00 2.332538327721e-02 2.500508793785e-02 8.130116888381e-03
1.850000000000e+00 2.354544837903e-02 2.803915027434e-02 1.016506359766e-02
1.950000000000e+00 2.010507542295e-02 3.519608590345e-02 1.129036320144e-02
2.050000000000e+00 1.597700324768e-02 4.257379182942e-02 1.143377957535e-02
2.150000000000e+00 1.480096233985e-02 4.556172205547e-02 1.169734969417e-02
2.250000000000e+00 1.436337123226e-02 4.585592697565e-02 1.356715225805e-02
2.350000000000e+00 1.318155205563e-02 4.704541547871e-02 1.366175431631e-02
2.450000000000e+00 1.426596127849e-02 4.584193689242e-02 1.427037935259e-02
2.550000000000e+00 1.771655414651e-02 4.478079293939e-02 1.612597953391e-02
2.650000000000e+00 1.969411573850e-02 4.148037723331e-02 1.743580678134e-02
2.750000000000e+00 2.051133058013e-02 3.605000484933e-02 1.794785260884e-02
2.850000000000e+00 2.269543274297e-02 3.250040821804e-02 1.898958953145e-02
2.950000000000e+00 2.487956787244e-02 3.140725459252e-02 2.039064045009e-02
3.050000000000e+00 2.691850078112e-02 3.083853240303e-02 2.215744419306e-02
3.150000000000e+00 2.760476811326e-02 2.993545728782e-02 2.349933397094e-02
3.250000000000e+00 3.016560897249e-02 3.047193528301e-02 2.289914714742e-02
3.350000000000e+00 3.139533713655e-02 3.135516244846e-02 2.197082795322e-02
3.450000000000e+00 3.094097674766e-02 3.378863397678e-02 2.162258665990e-02
3.550000000000e+00 2.967284199371e-02 3.563266387500e-02 2.171378607739e-02
3.650000000000e+00 2.854509056218e-02 3.697185451711e-02 2.166512452669e-02
3.750000000000e+00 2.725430328052e-02 3.665591575393e-02 2.209803276851e-02
3.850000000000e+00 2.557246464098e-02 3.391769099737e-02 2.206725485707e-02
3.950000000000e+00 2.596335752865e-02 3.003447454326e-02 2.216251508829e-02
4.050000000000e+00 2.504151742582e-02 2.563008282539e-02 2.154084684877e-02
4.150000000000e+00 2.423582389565e-02 2.334726941682e-02 2.201520767646e-02
4.250000000000e+00 2.400153691754e-02 2.180489558458e-02 2.138348110425e-02
4.350000000000e+00 2.297382268308e-02 2.164929932053e-02 2.138159142397e-02
4.450000000000e+00 2.216990700358e-02 2.163015756103e-02 2.185114678689e-02
4.550000000000e+00 2.144315786963e-02 2.148543437875e-02 2.232840234853e-02
4.650000000000e+00 2.016039065631e-02 2.156975357090e-02 2.190461525556e-02
4.750000000000e+00 1.950152529358e-02 2.216403010310e-02 2.223691102946e-02
4.850000000000e+00 1.940585115043e-02 2.268469695517e-02 2.163835276439e-02
4.950000000000e+00 2.044171246248e-02 2.155553412644e-02 2.121023858630e-02
5.050000000000e+00 2.080808845911e-02 2.034633359726e-02 2.070616959321e-02
5.150000000000e+00 2.116587087982e-02 2.002287785253e-02 1.974287956063e-02
5.250000000000e+00 2.169421582456e-02 1.993327481950e-02 1.923274746886e-02
5.350000000000e+00 2.186933869739e-02 1.972141585087e-02 1.933686538439e-02
5.450000000000e+00 2.232518240255e-02 1.987764520691e-02 1.875522482934e-02
