# Radius(nm)	H1_rho(#/nm^3)	H2_rho(#/nm^3)	NAC_rho(#/nm^3)	C-term_rho(#/nm^3)
5.000000000000e-02 7.956951459449e-03 0.000000000000e+00 0.000000000000e+00 7.956951459449e-03
1.500000000000e-01 2.614426908105e-02 1.023036616215e-02 2.273414702700e-02 7.956951459449e-03
2.500000000000e-01 2.010177210808e-02 1.256360756755e-02 2.219570670267e-02 1.465754216214e-02
3.500000000000e-01 2.150527421473e-02 8.387056943743e-03 2.150527421473e-02 1.913969405111e-02
4.500000000000e-01 2.243599427910e-02 1.460948464686e-02 1.760964667255e-02 1.460948464686e-02
5.500000000000e-01 2.334622021619e-02 1.617621999998e-02 1.608878097295e-02 2.011097621619e-02
6.500000000000e-01 2.399616070054e-02 1.566329027451e-02 1.735492562415e-02 2.092615580674e-02
7.500000000000e-01 2.307045097710e-02 1.534891228272e-02 1.666722376713e-02 2.010425013719e-02
8.500000000000e-01 2.255080713162e-02 1.587723493982e-02 1.741729006101e-02 2.075407615690e-02
9.500000000000e-01 2.328362548835e-02 1.661857758689e-02 1.879132447988e-02 2.119896292886e-02
1.050000000000e+00 2.473626299629e-02 1.519272907061e-02 1.774087666789e-02 2.103423724175e-02
1.150000000000e+00 2.349004309943e-02 1.421027351322e-02 1.871988076354e-02 2.124526082372e-02
1.250000000000e+00 2.366726500199e-02 1.423429056392e-02 1.749172058570e-02 2.059645857520e-02
1.350000000000e+00 2.165978194355e-02 1.427014512197e-02 1.854682469981e-02 2.113610689320e-02
1.450000000000e+00 2.128579090895e-02 1.487987753114e-02 2.016349506127e-02 2.127318084325e-02
1.550000000000e+00 2.062627222983e-02 1.601322686222e-02 1.957785282810e-02 2.050487629911e-02
1.650000000000e+00 2.047186287364e-02 1.644956060589e-02 2.010177210808e-02 2.162109209299e-02
1.750000000000e+00 1.881442385352e-02 1.727325153602e-02 1.975817544120e-02 2.060668604297e-02
1.850000000000e+00 1.854039419909e-02 1.836219567565e-02 1.984201819635e-02 2.039985705232e-02
1.950000000000e+00 1.768521376088e-02 1.777587140240e-02 2.050954797742e-02 1.842442222249e-02
2.050000000000e+00 1.711280916576e-02 1.819813482082e-02 2.088620882694e-02 1.850732643185e-02
2.150000000000e+00 1.788736456421e-02 1.890851622952e-02 2.065824239760e-02 1.767510270120e-02
2.250000000000e+00 1.684631724397e-02 1.954927113013e-02 2.138267008392e-02 1.687774694032e-02
2.350000000000e+00 1.587068471544e-02 2.043740821449e-02 2.117691969594e-02 1.756099667303e-02
2.450000000000e+00 1.612155240174e-02 1.988133346336e-02 2.092841702577e-02 1.791529048754e-02
2.550000000000e+00 1.644001605999e-02 2.017990559782e-02 2.037566862707e-02 1.799796350105e-02
2.650000000000e+00 1.677115397789e-02 2.022659326854e-02 2.062689552516e-02 1.764351078241e-02
2.750000000000e+00 1.659071721228e-02 2.056042591747e-02 2.049379653108e-02 1.787070279302e-02
2.850000000000e+00 1.693586672965e-02 2.020092682791e-02 2.083108342687e-02 1.828433655023e-02
2.950000000000e+00 1.702927796070e-02 1.997008920481e-02 2.033883341262e-02 1.804713387317e-02
3.050000000000e+00 1.747621370348e-02 1.992516436764e-02 1.956879785656e-02 1.808061130628e-02
3.150000000000e+00 1.754966183498e-02 1.940993668072e-02 1.963712541907e-02 1.837823252777e-02
3.250000000000e+00 1.718691471755e-02 1.937388370499e-02 1.980324271400e-02 1.827412203278e-02
3.350000000000e+00 1.757524443241e-02 1.929330315264e-02 1.980612123007e-02 1.848744617382e-02
3.450000000000e+00 1.786358998891e-02 1.959714032088e-02 2.032799444541e-02 1.867243159624e-02
3.550000000000e+00 1.788577901451e-02 1.930207849407e-02 2.031221779598e-02 1.831719267470e-02
3.650000000000e+00 1.831273366912e-02 1.938772836216e-02 2.052841717534e-02 1.800018891577e-02
3.750000000000e+00 1.790549825930e-02 1.920871074058e-02 2.031766723694e-02 1.795453375064e-02
3.850000000000e+00 1.838848440494e-02 1.936185557515e-02 2.055530882981e-02 1.737217038898e-02
3.950000000000e+00 1.863024738209e-02 1.948866662734e-02 2.018390122399e-02 1.791121502419e-02
4.050000000000e+00 1.860448760260e-02 1.946308163328e-02 2.000313889552e-02 1.768283299340e-02
4.150000000000e+00 1.891989658037e-02 1.947890052459e-02 1.972683340343e-02 1.764789311502e-02
4.250000000000e+00 1.918683977129e-02 1.923235840854e-02 1.958182407514e-02 1.784917917347e-02
4.350000000000e+00 1.897222035496e-02 1.961696188593e-02 1.950202969998e-02 1.814807248493e-02
4.450000000000e+00 1.919793674798e-02 1.920195473390e-02 1.928499310968e-02 1.821754818236e-02
4.550000000000e+00 1.896037378841e-02 1.918584850374e-02 1.892450281098e-02 1.783556242448e-02
