# Radius(nm)	N-ter_rho(#/nm^3)	NAC_rho(#/nm^3)	C-term_rho(#/nm^3)
5.000000000000e-02 2.387085437835e-02 0.000000000000e+00 7.956951459449e-03
1.500000000000e-01 3.410122054049e-02 2.273414702700e-02 7.956951459449e-03
2.500000000000e-01 3.099023199996e-02 2.219570670267e-02 1.465754216214e-02
3.500000000000e-01 2.387085437835e-02 2.150527421473e-02 1.913969405111e-02
4.500000000000e-01 1.930539042620e-02 1.760964667255e-02 1.460948464686e-02
5.500000000000e-01 1.766268345944e-02 1.608878097295e-02 2.011097621619e-02
6.500000000000e-01 2.092615580674e-02 1.735492562415e-02 2.092615580674e-02
7.500000000000e-01 1.888010375881e-02 1.666722376713e-02 2.010425013719e-02
8.500000000000e-01 1.917735305664e-02 1.741729006101e-02 2.075407615690e-02
9.500000000000e-01 2.031811959387e-02 1.879132447988e-02 2.119896292886e-02
1.050000000000e+00 2.038518077829e-02 1.774087666789e-02 2.103423724175e-02
1.150000000000e+00 1.853949647353e-02 1.871988076354e-02 2.124526082372e-02
1.250000000000e+00 1.929009341022e-02 1.749172058570e-02 2.059645857520e-02
1.350000000000e+00 1.795041700358e-02 1.854682469981e-02 2.113610689320e-02
1.450000000000e+00 1.817110467998e-02 2.016349506127e-02 2.127318084325e-02
1.550000000000e+00 1.808799367828e-02 1.957785282810e-02 2.050487629911e-02
1.650000000000e+00 1.893306442738e-02 2.010177210808e-02 2.162109209299e-02
1.750000000000e+00 1.996597395592e-02 1.975817544120e-02 2.060668604297e-02
1.850000000000e+00 2.067877648030e-02 1.984201819635e-02 2.039985705232e-02
1.950000000000e+00 2.126270376850e-02 2.050954797742e-02 1.842442222249e-02
2.050000000000e+00 2.130898102978e-02 2.088620882694e-02 1.850732643185e-02
2.150000000000e+00 2.223012754532e-02 2.065824239760e-02 1.767510270120e-02
2.250000000000e+00 2.162886937200e-02 2.138267008392e-02 1.687774694032e-02
2.350000000000e+00 2.199806556170e-02 2.117691969594e-02 1.756099667303e-02
2.450000000000e+00 2.227592962717e-02 2.092841702577e-02 1.791529048754e-02
2.550000000000e+00 2.093440893970e-02 2.037566862707e-02 1.799796350105e-02
2.650000000000e+00 2.021904039577e-02 2.062689552516e-02 1.764351078241e-02
2.750000000000e+00 2.013610193043e-02 2.049379653108e-02 1.787070279302e-02
2.850000000000e+00 1.973075817376e-02 2.083108342687e-02 1.828433655023e-02
2.950000000000e+00 1.987561754827e-02 2.033883341262e-02 1.804713387317e-02
3.050000000000e+00 2.026442528619e-02 1.956879785656e-02 1.808061130628e-02
3.150000000000e+00 2.051915228559e-02 1.963712541907e-02 1.837823252777e-02
3.250000000000e+00 2.047866712000e-02 1.980324271400e-02 1.827412203278e-02
3.350000000000e+00 2.056944030384e-02 1.980612123007e-02 1.848744617382e-02
3.450000000000e+00 2.088950432157e-02 2.032799444541e-02 1.867243159624e-02
3.550000000000e+00 2.065313981038e-02 2.031221779598e-02 1.831719267470e-02
3.650000000000e+00 2.017804853464e-02 2.052841717534e-02 1.800018891577e-02
3.750000000000e+00 2.017433272380e-02 2.031766723694e-02 1.795453375064e-02
3.850000000000e+00 2.014019465427e-02 2.055530882981e-02 1.737217038898e-02
3.950000000000e+00 2.021789802578e-02 2.018390122399e-02 1.791121502419e-02
4.050000000000e+00 2.028933690574e-02 2.000313889552e-02 1.768283299340e-02
4.150000000000e+00 2.053685013803e-02 1.972683340343e-02 1.764789311502e-02
4.250000000000e+00 2.087837106512e-02 1.958182407514e-02 1.784917917347e-02
4.350000000000e+00 2.047615005656e-02 1.950202969998e-02 1.814807248493e-02
4.450000000000e+00 2.083057836203e-02 1.928499310968e-02 1.821754818236e-02
4.550000000000e+00 2.132273387394e-02 1.892450281098e-02 1.783556242448e-02
4.650000000000e+00 2.151578318949e-02 1.852410681989e-02 1.800402859901e-02
4.750000000000e+00 2.137527040015e-02 1.895609384474e-02 1.801569479502e-02
4.850000000000e+00 2.196871790221e-02 1.908225116901e-02 1.834372159470e-02
4.950000000000e+00 2.157610031849e-02 1.916877341795e-02 1.806252877212e-02
5.050000000000e+00 2.222559268591e-02 1.915554684768e-02 1.854923359440e-02
5.150000000000e+00 2.197586593853e-02 1.919788288532e-02 1.862588637473e-02
5.250000000000e+00 2.226291316553e-02 1.884110649123e-02 1.861112567145e-02
5.350000000000e+00 2.202779202213e-02 1.851772655941e-02 1.853811236727e-02
5.450000000000e+00 2.156975866395e-02 1.850698865992e-02 1.842305268896e-02
5.550000000000e+00 2.139447818558e-02 1.811129931804e-02 1.861501283431e-02
5.650000000000e+00 2.119555066117e-02 1.800097215416e-02 1.844297885526e-02
5.750000000000e+00 2.093563052613e-02 1.764744179417e-02 1.811832903147e-02
5.850000000000e+00 2.063134360592e-02 1.728720748558e-02 1.793510964007e-02
5.950000000000e+00 2.035649044875e-02 1.716277195975e-02 1.792842532493e-02
6.050000000000e+00 2.002824317814e-02 1.669938105222e-02 1.751529284016e-02
6.150000000000e+00 1.937591661021e-02 1.652117532252e-02 1.713546010955e-02
6.250000000000e+00 1.872555374180e-02 1.629345201573e-02 1.695409829699e-02
6.350000000000e+00 1.800229846190e-02 1.608689442372e-02 1.667296070051e-02
6.450000000000e+00 1.760270705447e-02 1.588393923661e-02 1.628047988302e-02
6.550000000000e+00 1.726530497704e-02 1.564683718737e-02 1.594234047364e-02
6.650000000000e+00 1.681173636540e-02 1.512822368381e-02 1.547368264519e-02
6.750000000000e+00 1.631381700571e-02 1.479623909549e-02 1.523981192541e-02
6.850000000000e+00 1.565615127682e-02 1.439226383892e-02 1.496655258530e-02
6.950000000000e+00 1.528903156697e-02 1.384106517413e-02 1.468392767432e-02
7.050000000000e+00 1.484877817119e-02 1.355846171831e-02 1.429913964908e-02
7.150000000000e+00 1.413958108338e-02 1.304282191371e-02 1.422103386940e-02
7.250000000000e+00 1.365331933476e-02 1.249376105878e-02 1.371538446441e-02
7.350000000000e+00 1.317779565145e-02 1.212665521370e-02 1.309285996918e-02
7.450000000000e+00 1.249190247441e-02 1.148025955569e-02 1.275520679572e-02
7.550000000000e+00 1.192402754525e-02 1.114001121818e-02 1.225578044804e-02
7.650000000000e+00 1.142353012968e-02 1.074326675094e-02 1.179289365645e-02
7.750000000000e+00 1.088599630270e-02 1.048989299735e-02 1.140044485424e-02
7.850000000000e+00 1.042448013998e-02 9.958778756355e-03 1.096980699124e-02
7.950000000000e+00 9.821029218157e-03 9.629669592320e-03 1.042700136664e-02
8.050000000000e+00 9.275265365672e-03 9.288362554433e-03 1.006478027567e-02
8.150000000000e+00 8.877748873284e-03 8.904502310720e-03 9.665178404976e-03
8.250000000000e+00 8.317408881457e-03 8.536411120559e-03 9.084306402011e-03
8.350000000000e+00 7.701699060477e-03 8.084007049995e-03 8.668310604124e-03
8.450000000000e+00 7.197324657032e-03 7.850343688156e-03 8.217713325120e-03
8.550000000000e+00 6.753485680825e-03 7.549870180095e-03 7.777356777381e-03
8.650000000000e+00 6.245889638504e-03 7.137045515416e-03 7.425944496993e-03
8.750000000000e+00 5.761333089037e-03 6.853945954338e-03 6.844938999837e-03
8.850000000000e+00 5.357235906221e-03 6.349442050673e-03 6.461192230765e-03
8.950000000000e+00 4.875954691517e-03 6.091797800796e-03 6.012993154825e-03
9.050000000000e+00 4.524623572155e-03 5.732528376345e-03 5.502605477960e-03
9.150000000000e+00 4.105352309710e-03 5.338003427627e-03 5.149826926974e-03
9.250000000000e+00 3.818989519670e-03 4.939577759411e-03 4.718249957703e-03
