# Radius(nm)	H1_P(r)	H2_P(r)	NAC_P(r)	C-term_P(r)
5.000000000000e-02 0.000000000000e+00 0.000000000000e+00 6.738826015642e-05 2.642808207343e-04
1.500000000000e-01 0.000000000000e+00 0.000000000000e+00 4.380236910167e-04 9.283710882203e-04
2.500000000000e-01 6.758528587224e-06 0.000000000000e+00 7.277932096894e-04 1.484038454892e-03
3.500000000000e-01 2.027558576167e-04 0.000000000000e+00 1.132240581254e-03 1.619567080910e-03
4.500000000000e-01 8.192628364944e-04 0.000000000000e+00 2.386133462666e-03 1.524697042698e-03
5.500000000000e-01 2.276789115068e-03 8.762900843733e-05 3.680577110799e-03 1.389168416680e-03
6.500000000000e-01 4.487473821704e-03 6.538472168016e-04 4.578019077137e-03 1.228021302473e-03
7.500000000000e-01 5.361598833255e-03 1.666914911457e-03 5.755994092646e-03 1.005291411752e-03
8.500000000000e-01 4.601344628649e-03 2.923383959235e-03 8.029287431745e-03 7.015417928241e-04
9.500000000000e-01 4.011629096270e-03 5.168525651609e-03 9.386070337567e-03 9.751273477831e-04
1.050000000000e+00 5.185848452688e-03 6.232828433705e-03 1.385794040445e-02 1.099482690421e-03
1.150000000000e+00 6.544774996164e-03 7.372619215624e-03 1.475966746093e-02 1.600175982405e-03
1.250000000000e+00 8.576754251382e-03 8.693426831800e-03 1.408186711331e-02 1.975919036945e-03
1.350000000000e+00 1.148325938684e-02 1.042860781395e-02 1.288309219716e-02 2.297980676920e-03
1.450000000000e+00 1.348070288679e-02 1.099299589334e-02 1.450410267283e-02 2.645279492944e-03
1.550000000000e+00 1.663713216791e-02 1.069129389468e-02 1.614909919432e-02 3.486169098101e-03
1.650000000000e+00 1.952364554092e-02 1.040292758592e-02 1.683355818962e-02 5.145053215291e-03
1.750000000000e+00 2.219255234592e-02 1.124627098882e-02 1.958622631454e-02 6.462291320382e-03
1.850000000000e+00 2.545509397132e-02 1.276395610162e-02 2.451958851648e-02 9.030302931302e-03
1.950000000000e+00 2.779046803278e-02 1.394032725381e-02 3.418294270795e-02 1.114029328467e-02
2.050000000000e+00 3.109110394200e-02 1.533432929635e-02 4.568068340852e-02 1.245592035234e-02
2.150000000000e+00 3.403501286268e-02 1.718918721090e-02 5.375666031957e-02 1.400197131382e-02
2.250000000000e+00 3.438406438868e-02 1.693401207910e-02 5.926182096567e-02 1.776857503498e-02
2.350000000000e+00 3.230575699003e-02 1.906117092441e-02 6.628456552743e-02 1.949974645970e-02
2.450000000000e+00 3.237731119124e-02 2.136199740867e-02 7.018722216484e-02 2.212128214009e-02
2.550000000000e+00 3.630950794339e-02 2.650267868449e-02 7.430132798170e-02 2.702941188209e-02
2.650000000000e+00 3.970239166531e-02 3.174141879494e-02 7.436132899812e-02 3.157395990868e-02
2.750000000000e+00 4.228506865893e-02 3.390583381845e-02 6.964260961266e-02 3.498744979979e-02
2.850000000000e+00 4.401606240794e-02 3.979648586126e-02 6.745640523418e-02 3.977422861437e-02
2.950000000000e+00 4.531274166881e-02 4.374181421480e-02 6.987375641472e-02 4.573493807124e-02
3.050000000000e+00 4.910852273414e-02 4.418237291386e-02 7.334244153559e-02 5.304550247023e-02
3.150000000000e+00 5.284027760678e-02 4.802664585966e-02 7.593365296958e-02 5.995194526494e-02
3.250000000000e+00 5.681123628581e-02 5.704467311201e-02 8.227053112787e-02 6.211267180986e-02
3.350000000000e+00 5.797475893622e-02 6.464547006800e-02 8.989363161896e-02 6.325215532001e-02
3.450000000000e+00 5.992912060439e-02 6.728496350055e-02 1.026802907023e-01 6.603163801391e-02
3.550000000000e+00 6.172041040154e-02 7.019441670650e-02 1.145602950432e-01 7.017609378862e-02
3.650000000000e+00 6.391463407015e-02 7.377650985551e-02 1.255725482561e-01 7.401527539201e-02
3.750000000000e+00 7.098313187195e-02 8.181687938205e-02 1.314042410117e-01 7.972529239309e-02
3.850000000000e+00 7.323964466781e-02 8.473091688802e-02 1.281351226991e-01 8.392614768077e-02
3.950000000000e+00 7.210578303009e-02 8.680043027397e-02 1.194300975729e-01 8.874964044506e-02
4.050000000000e+00 7.363924851632e-02 9.244604130735e-02 1.071424570654e-01 9.069216233796e-02
4.150000000000e+00 7.467223842110e-02 9.250846475522e-02 1.025018281096e-01 9.730510709830e-02
4.250000000000e+00 7.664438775885e-02 9.391399333977e-02 1.004583596834e-01 9.909270403158e-02
4.350000000000e+00 8.480765396574e-02 1.022599126189e-01 1.044928717675e-01 1.038052769064e-01
4.450000000000e+00 9.519454335744e-02 1.096748334259e-01 1.092728328990e-01 1.110651617496e-01
4.550000000000e+00 9.927615488688e-02 1.131239929812e-01 1.134953777097e-01 1.186943833056e-01
4.650000000000e+00 1.089020069825e-01 1.178017163815e-01 1.190346193447e-01 1.216692544548e-01
4.750000000000e+00 1.152802093186e-01 1.208723325366e-01 1.276840157777e-01 1.288952873669e-01
4.850000000000e+00 1.213113874191e-01 1.232475991048e-01 1.362738091241e-01 1.307753003874e-01
4.950000000000e+00 1.259689412357e-01 1.209298074060e-01 1.348875188466e-01 1.335418092378e-01
5.050000000000e+00 1.322630659234e-01 1.230338917739e-01 1.324840611380e-01 1.356602667366e-01
5.150000000000e+00 1.327343768574e-01 1.346468183143e-01 1.355723876150e-01 1.345202864488e-01
5.250000000000e+00 1.354550351396e-01 1.478019967178e-01 1.402327249638e-01 1.361664440923e-01
5.350000000000e+00 1.409191373281e-01 1.552162971841e-01 1.440447827040e-01 1.421633309384e-01
5.450000000000e+00 1.475405265482e-01 1.636619222907e-01 1.506765647643e-01 1.431003140833e-01
5.550000000000e+00 1.517803136871e-01 1.649090081098e-01 1.592079895874e-01 1.465541932655e-01
5.650000000000e+00 1.535712901297e-01 1.655605500651e-01 1.635707517295e-01 1.513095185195e-01
5.750000000000e+00 1.564248580314e-01 1.673872974387e-01 1.697511135332e-01 1.565965856802e-01
