# Radius(nm)	H1(mg/ml)	H2(mg/ml)	NAC(mg/ml)	C-term(mg/ml)
0.5000 100.6427 127.0053 200.9073 171.7742
1.5000 150.5837 93.8214 202.9343 173.5287
2.5000 131.0526 102.1605 210.2594 170.2970
3.5000 116.6081 125.6996 183.1207 169.0154
4.5000 115.7844 123.7078 148.7549 171.9569
5.5000 110.4711 117.6969 118.1049 159.0841
6.5000 88.9966 92.1585 93.2352 136.0691
7.5000 64.2018 62.9681 63.2324 100.9838
8.5000 40.3186 38.7761 37.6199 67.6280
9.5000 22.6458 24.7800 18.0367 40.8794
10.5000 13.0352 13.4602 8.3026 22.3095
11.5000 6.8423 6.3718 3.6530 11.6085
12.5000 3.3400 2.5341 1.6344 5.9938
13.5000 1.6567 0.7888 0.7338 3.0253
14.5000 0.8381 0.2733 0.2933 1.5200
