# Radius(nm)	N-ter(mg/ml)	NAC(mg/ml)	C-term(mg/ml)
0.5000 227.6481 200.9073 171.7742
1.5000 244.4051 202.9343 173.5287
2.5000 233.2132 210.2594 170.2970
3.5000 242.3076 183.1207 169.0154
4.5000 239.4922 148.7549 171.9569
5.5000 228.1680 118.1049 159.0841
6.5000 181.1551 93.2352 136.0691
7.5000 127.1699 63.2324 100.9838
8.5000 79.0946 37.6199 67.6280
9.5000 47.4258 18.0367 40.8794
10.5000 26.4954 8.3026 22.3095
11.5000 13.2141 3.6530 11.6085
12.5000 5.8741 1.6344 5.9938
13.5000 2.4455 0.7338 3.0253
14.5000 1.1113 0.2933 1.5200
