# Radius(nm)	H1(mg/ml)	H2(mg/ml)	NAC(mg/ml)	C-term(mg/ml)
0.5000 122.6007 107.9596 123.2471 174.3801
1.5000 113.2534 108.0846 122.6447 177.9875
2.5000 109.5902 112.8564 119.2913 173.3106
3.5000 110.1975 115.2825 116.1364 165.8133
4.5000 109.1395 113.9405 112.1119 159.4621
5.5000 102.7062 105.8413 103.4661 152.5233
6.5000 89.7169 91.2505 88.4384 136.1667
7.5000 69.2864 70.6662 68.7100 109.6109
8.5000 46.6140 47.0693 47.4422 76.4468
9.5000 27.2166 26.6573 28.5288 45.5187
10.5000 13.8754 12.8791 14.6630 23.2109
11.5000 6.4573 5.3822 6.5454 10.5369
12.5000 2.8265 2.0363 2.6254 4.6001
13.5000 1.2321 0.7261 0.9856 2.0602
14.5000 0.5553 0.2521 0.3611 0.9705
