# Radius(nm)	N-ter(mg/ml)	NAC(mg/ml)	C-term(mg/ml)
0.5000 230.5603 123.2471 174.3801
1.5000 221.3380 122.6447 177.9875
2.5000 222.4467 119.2913 173.3106
3.5000 225.4800 116.1364 165.8133
4.5000 223.0800 112.1119 159.4621
5.5000 208.5475 103.4661 152.5233
6.5000 180.9673 88.4384 136.1667
7.5000 139.9526 68.7100 109.6109
8.5000 93.6833 47.4422 76.4468
9.5000 53.8739 28.5288 45.5187
10.5000 26.7545 14.6630 23.2109
11.5000 11.8395 6.5454 10.5369
12.5000 4.8628 2.6254 4.6001
13.5000 1.9582 0.9856 2.0602
14.5000 0.8075 0.3611 0.9705
